480) Scaler: MinMax, classifier: SGD-sei-l2--2, mean: 0.29110299259980577, class wrong: [640, 27, 117, 54]
1108) Scaler: Standard, classifier: SGD-sei-l1-0, mean: 0.29132488218957975, class wrong: [331, 195, 75, 47]
470) Scaler: MinMax, classifier: SGD-hu-n--6, mean: 0.29135529879090394, class wrong: [205, 182, 146, 51]
1361) Scaler: None, classifier: SGD-sl-l2--6, mean: 0.2920823223673882, class wrong: [193, 152, 145, 54]
1364) Scaler: None, classifier: SGD-sei-l2--6, mean: 0.2921557293214072, class wrong: [634, 187, 3, 54]
820) Scaler: Robust, classifier: SGD-sei-n-0, mean: 0.29241209027382603, class wrong: [366, 161, 129, 23]
1368) Scaler: None, classifier: SGD-sei-e--6, mean: 0.29296099394770986, class wrong: [158, 195, 146, 35]
1349) Scaler: None, classifier: SGD-sl-e--4, mean: 0.29371432543637244, class wrong: [163, 185, 146, 54]
184) Scaler: MaxAbs, classifier: SGD-sei-e--2, mean: 0.2937359422037516, class wrong: [439, 159, 84, 54]
770) Scaler: Robust, classifier: SGD-hu-n--6, mean: 0.29387175841511926, class wrong: [526, 178, 89, 42]
471) Scaler: MinMax, classifier: SGD-ei-n--6, mean: 0.2940013295558088, class wrong: [628, 163, 36, 54]
1383) Scaler: None, classifier: SGD-ei-e--2, mean: 0.2944826088660474, class wrong: [572, 180, 71, 23]
1344) Scaler: None, classifier: SGD-sei-l1--4, mean: 0.2953799754347689, class wrong: [325, 174, 139, 38]
1045) Scaler: Standard, classifier: SGD-sl-l2--4, mean: 0.29541026077903754, class wrong: [447, 85, 92, 49]
489) Scaler: MinMax, classifier: SGD-sl-l1--1, mean: 0.2958429675667462, class wrong: [386, 150, 128, 43]
1377) Scaler: None, classifier: SGD-sl-l2--2, mean: 0.2959839179313309, class wrong: [139, 195, 144, 8]
160) Scaler: MaxAbs, classifier: SGD-sei-l1--6, mean: 0.2962869428115599, class wrong: [640, 41, 97, 50]
477) Scaler: MinMax, classifier: SGD-sl-l2--2, mean: 0.2963999786537347, class wrong: [339, 185, 135, 26]
463) Scaler: MinMax, classifier: SGD-ei-l2--6, mean: 0.2966883175021792, class wrong: [388, 188, 145, 9]
1371) Scaler: None, classifier: SGD-ei-n--6, mean: 0.2979190232752752, class wrong: [153, 195, 95, 54]
172) Scaler: MaxAbs, classifier: SGD-sei-n--6, mean: 0.2993657016653992, class wrong: [431, 153, 146, 20]
1343) Scaler: None, classifier: SGD-ei-l1--4, mean: 0.3003042011948862, class wrong: [640, 0, 146, 54]
762) Scaler: Robust, classifier: SGD-hu-l2--6, mean: 0.30093517985176044, class wrong: [333, 112, 142, 44]
1071) Scaler: Standard, classifier: SGD-ei-n--6, mean: 0.3014950413849261, class wrong: [468, 175, 86, 44]
1392) Scaler: None, classifier: SGD-sei-l1--1, mean: 0.30488850807042284, class wrong: [625, 158, 10, 52]
466) Scaler: MinMax, classifier: SGD-hu-e--6, mean: 0.3064935861950323, class wrong: [444, 193, 43, 54]
462) Scaler: MinMax, classifier: SGD-hu-l2--6, mean: 0.3066090180243099, class wrong: [640, 141, 50, 42]
1395) Scaler: None, classifier: SGD-ei-l2--1, mean: 0.30710402380318913, class wrong: [94, 175, 145, 54]
197) Scaler: MaxAbs, classifier: SGD-sl-e--1, mean: 0.30870844517725815, class wrong: [415, 75, 140, 54]
1149) Scaler: Standard, classifier: SGD-sl-n-2, mean: 0.31036913127525045, class wrong: [497, 91, 123, 34]
1356) Scaler: None, classifier: SGD-sei-n--4, mean: 0.3118420555463622, class wrong: [496, 112, 145, 47]
1402) Scaler: None, classifier: SGD-hu-n--1, mean: 0.31229224687158, class wrong: [440, 194, 128, 27]
1101) Scaler: Standard, classifier: SGD-sl-n--1, mean: 0.3124366283518031, class wrong: [635, 91, 144, 31]
